Time	Channel A
(us)	(V)

0.00000000	4.93911600
0.04000000	4.93911600
0.08000000	4.93911600
0.12000000	4.93911600
0.16000000	4.93911600
0.20000000	4.93911600
0.24000000	4.93911600
0.28000000	4.93911600
0.32000000	4.93911600
0.36000000	4.93911600
0.40000000	4.93911600
0.44000000	4.93911600
0.48000000	4.93911600
0.52000000	4.93911600
0.56000000	4.93911600
0.60000000	4.93911600
0.64000000	4.93911600
0.68000000	4.93911600
0.72000000	4.93911600
0.76000000	4.93911600
0.80000000	4.93911600
0.83999999	4.93911600
0.87999999	4.93911600
0.91999999	4.93911600
0.95999999	4.93911600
0.99999999	4.93911600
1.03999999	4.93911600
1.07999999	4.93911600
1.11999999	4.93911600
1.15999999	4.93911600
1.19999999	4.93911600
1.23999999	4.93911600
1.27999999	4.93911600
1.31999999	4.93911600
1.35999999	4.93911600
1.39999999	4.93911600
1.43999999	4.93911600
1.47999999	4.93911600
1.51999999	4.93911600
1.55999999	4.93911600
1.59999999	4.93911600
1.63999999	4.93911600
1.67999999	4.93911600
1.71999999	4.93911600
1.75999999	4.93911600
1.79999999	4.93911600
1.83999999	4.93911600
1.87999999	4.93911600
1.91999999	4.93911600
1.95999999	4.93911600
1.99999999	4.93911600
2.03999999	4.93911600
2.07999999	4.93911600
2.11999999	4.93911600
2.15999999	4.93911600
2.19999999	4.93911600
2.23999999	4.93911600
2.27999999	4.93911600
2.31999999	4.93911600
2.35999999	4.93911600
2.39999999	4.93911600
2.43999999	4.93911600
2.47999998	4.93911600
2.51999998	4.93911600
2.55999998	4.93911600
2.59999998	4.93911600
2.63999998	4.93911600
2.67999998	4.93911600
2.71999998	4.93911600
2.75999998	4.93911600
2.79999998	4.93911600
2.83999998	4.93911600
2.87999998	4.93911600
2.91999998	4.93911600
2.95999998	4.93911600
2.99999998	4.93911600
3.03999998	4.93911600
3.07999998	4.93911600
3.11999998	4.93911600
3.15999998	4.93911600
3.19999998	4.93911600
3.23999998	4.93911600
3.27999998	4.93911600
3.31999998	4.93911600
3.35999998	4.93911600
3.39999998	4.93911600
3.43999998	4.93911600
3.47999998	4.93911600
3.51999998	4.93911600
3.55999998	4.93911600
3.59999998	4.93911600
3.63999998	4.93911600
3.67999998	4.93911600
3.71999998	4.93911600
3.75999998	4.93911600
3.79999998	4.93911600
3.83999998	4.93911600
3.87999998	4.93911600
3.91999998	4.93911600
3.95999998	4.93911600
3.99999998	4.93911600
4.03999998	4.93911600
4.07999998	4.93911600
